id,feature_ids,scenario,role_preconditions,environment,verification_level,outcome,evidence,limitations,findings,prior_outcome,evidence_use,new_execution_this_round,blocker_expression,feature_specific_requirements,lower_level_option_not_full_flow,live_provider_access_required,operational_task_outcome,operational_block_reason,operational_new_evidence,source_head
FLOW-CMD-events,CMD-events,Representative full-path contract for /events,configured private admin,Required: isolated full application / approved provider sandbox,STATIC_DISCOVERY_ONLY; not executed as full flow,BLOCKED,src/presentation/telegram/commands.rs:178,"Tool-safety reason unresolved. Feature prerequisites are listed separately, including data/provider/schedule/product requirements. No new flow execution; no real-provider credential shortage inferred for a mock-only test.",,BLOCKED,PRIOR_OUTCOME_RETAINED,NO,EXEC-01 AND BOOT-01 AND TG-01 AND IDENTITY-01 AND DB-01,TG-01;IDENTITY-01;DB-01,EXEC-02 AND COMPONENT-01 may supply handler-level evidence after resolution; cannot close this full-dispatcher FLOW row.,NO_FOR_SIMULATED_SCOPE,BLOCKED,EXEC-01 cannot start because task-owned isolated DB/runtime environment provisioning OPQUAL-DB-001 was TOOL_BLOCKED before execution; no bypass permitted.,OPQUAL-DB-001-BLOCKED.json; execution_started=false; no Docker/network/DB aftermath.,8b380d2f882ddf0e634c5d61e0d73d2c32f23220
FLOW-CMD-fees,CMD-fees,Representative full-path contract for /fees,Telegram actor/chat identity,Required: isolated full application / approved provider sandbox,STATIC_DISCOVERY_ONLY; not executed as full flow,BLOCKED,src/presentation/telegram/commands.rs:159,"Tool-safety reason unresolved. Feature prerequisites are listed separately, including data/provider/schedule/product requirements. No new flow execution; no real-provider credential shortage inferred for a mock-only test.",,BLOCKED,PRIOR_OUTCOME_RETAINED,NO,EXEC-01 AND BOOT-01 AND TG-01 AND IDENTITY-01 AND FEE-01,TG-01;IDENTITY-01;FEE-01,EXEC-02 AND COMPONENT-01 may supply handler-level evidence after resolution; cannot close this full-dispatcher FLOW row.,NO_FOR_SIMULATED_SCOPE,BLOCKED,EXEC-01 cannot start because task-owned isolated DB/runtime environment provisioning OPQUAL-DB-001 was TOOL_BLOCKED before execution; no bypass permitted.,OPQUAL-DB-001-BLOCKED.json; execution_started=false; no Docker/network/DB aftermath.,8b380d2f882ddf0e634c5d61e0d73d2c32f23220
FLOW-CMD-forget,CMD-forget,Representative full-path contract for /forget,Telegram actor/chat identity,Required: isolated full application / approved provider sandbox,STATIC_DISCOVERY_ONLY; not executed as full flow,BLOCKED,src/presentation/telegram/commands.rs:1,"Tool-safety reason unresolved. Feature prerequisites are listed separately, including data/provider/schedule/product requirements. No new flow execution; no real-provider credential shortage inferred for a mock-only test.",,BLOCKED,PRIOR_OUTCOME_RETAINED,NO,EXEC-01 AND BOOT-01 AND TG-01 AND IDENTITY-01 AND DB-01,TG-01;IDENTITY-01;DB-01,EXEC-02 AND COMPONENT-01 may supply handler-level evidence after resolution; cannot close this full-dispatcher FLOW row.,NO_FOR_SIMULATED_SCOPE,BLOCKED,EXEC-01 cannot start because task-owned isolated DB/runtime environment provisioning OPQUAL-DB-001 was TOOL_BLOCKED before execution; no bypass permitted.,OPQUAL-DB-001-BLOCKED.json; execution_started=false; no Docker/network/DB aftermath.,8b380d2f882ddf0e634c5d61e0d73d2c32f23220
FLOW-CMD-forget_all,CMD-forget_all,Representative full-path contract for /forget_all,Telegram actor/chat identity,Required: isolated full application / approved provider sandbox,STATIC_DISCOVERY_ONLY; not executed as full flow,BLOCKED,src/presentation/telegram/commands.rs:30,"Tool-safety reason unresolved. Feature prerequisites are listed separately, including data/provider/schedule/product requirements. No new flow execution; no real-provider credential shortage inferred for a mock-only test.",,BLOCKED,PRIOR_OUTCOME_RETAINED,NO,EXEC-01 AND BOOT-01 AND TG-01 AND IDENTITY-01 AND DB-01,TG-01;IDENTITY-01;DB-01,EXEC-02 AND COMPONENT-01 may supply handler-level evidence after resolution; cannot close this full-dispatcher FLOW row.,NO_FOR_SIMULATED_SCOPE,BLOCKED,EXEC-01 cannot start because task-owned isolated DB/runtime environment provisioning OPQUAL-DB-001 was TOOL_BLOCKED before execution; no bypass permitted.,OPQUAL-DB-001-BLOCKED.json; execution_started=false; no Docker/network/DB aftermath.,8b380d2f882ddf0e634c5d61e0d73d2c32f23220
FLOW-CMD-forget_wallets,CMD-forget_wallets,Representative full-path contract for /forget_wallets,Telegram actor/chat identity,Required: isolated full application / approved provider sandbox,STATIC_DISCOVERY_ONLY; not executed as full flow,BLOCKED,src/presentation/telegram/commands.rs:26,"Tool-safety reason unresolved. Feature prerequisites are listed separately, including data/provider/schedule/product requirements. No new flow execution; no real-provider credential shortage inferred for a mock-only test.",,BLOCKED,PRIOR_OUTCOME_RETAINED,NO,EXEC-01 AND BOOT-01 AND TG-01 AND IDENTITY-01 AND DB-01,TG-01;IDENTITY-01;DB-01,EXEC-02 AND COMPONENT-01 may supply handler-level evidence after resolution; cannot close this full-dispatcher FLOW row.,NO_FOR_SIMULATED_SCOPE,BLOCKED,EXEC-01 cannot start because task-owned isolated DB/runtime environment provisioning OPQUAL-DB-001 was TOOL_BLOCKED before execution; no bypass permitted.,OPQUAL-DB-001-BLOCKED.json; execution_started=false; no Docker/network/DB aftermath.,8b380d2f882ddf0e634c5d61e0d73d2c32f23220
FLOW-CMD-health,CMD-health,Representative full-path contract for /health,configured private admin,Required: isolated full application / approved provider sandbox,STATIC_DISCOVERY_ONLY; not executed as full flow,BLOCKED,src/presentation/telegram/commands.rs:171,"Tool-safety reason unresolved. Feature prerequisites are listed separately, including data/provider/schedule/product requirements. No new flow execution; no real-provider credential shortage inferred for a mock-only test.",,BLOCKED,PRIOR_OUTCOME_RETAINED,NO,EXEC-01 AND BOOT-01 AND TG-01 AND IDENTITY-01 AND DB-01,TG-01;IDENTITY-01;DB-01,EXEC-02 AND COMPONENT-01 may supply handler-level evidence after resolution; cannot close this full-dispatcher FLOW row.,NO_FOR_SIMULATED_SCOPE,BLOCKED,EXEC-01 cannot start because task-owned isolated DB/runtime environment provisioning OPQUAL-DB-001 was TOOL_BLOCKED before execution; no bypass permitted.,OPQUAL-DB-001-BLOCKED.json; execution_started=false; no Docker/network/DB aftermath.,8b380d2f882ddf0e634c5d61e0d73d2c32f23220
FLOW-CMD-help,CMD-help,Representative full-path contract for /help,Telegram actor/chat identity,Required: isolated full application / approved provider sandbox,STATIC_DISCOVERY_ONLY; not executed as full flow,BLOCKED,src/presentation/telegram/commands.rs:147,"Tool-safety reason unresolved. Feature prerequisites are listed separately, including data/provider/schedule/product requirements. No new flow execution; no real-provider credential shortage inferred for a mock-only test.",,BLOCKED,PRIOR_OUTCOME_RETAINED,NO,EXEC-01 AND BOOT-01 AND TG-01 AND IDENTITY-01,TG-01;IDENTITY-01,EXEC-02 AND COMPONENT-01 may supply handler-level evidence after resolution; cannot close this full-dispatcher FLOW row.,NO_FOR_SIMULATED_SCOPE,BLOCKED,EXEC-01 cannot start because task-owned isolated DB/runtime environment provisioning OPQUAL-DB-001 was TOOL_BLOCKED before execution; no bypass permitted.,OPQUAL-DB-001-BLOCKED.json; execution_started=false; no Docker/network/DB aftermath.,8b380d2f882ddf0e634c5d61e0d73d2c32f23220
FLOW-CMD-hidemenu,CMD-hidemenu,Representative full-path contract for /hidemenu,Telegram actor/chat identity,Required: isolated full application / approved provider sandbox,STATIC_DISCOVERY_ONLY; not executed as full flow,BLOCKED,src/presentation/telegram/commands.rs:32,"Tool-safety reason unresolved. Feature prerequisites are listed separately, including data/provider/schedule/product requirements. No new flow execution; no real-provider credential shortage inferred for a mock-only test.",,BLOCKED,PRIOR_OUTCOME_RETAINED,NO,EXEC-01 AND BOOT-01 AND TG-01 AND IDENTITY-01,TG-01;IDENTITY-01,EXEC-02 AND COMPONENT-01 may supply handler-level evidence after resolution; cannot close this full-dispatcher FLOW row.,NO_FOR_SIMULATED_SCOPE,BLOCKED,EXEC-01 cannot start because task-owned isolated DB/runtime environment provisioning OPQUAL-DB-001 was TOOL_BLOCKED before execution; no bypass permitted.,OPQUAL-DB-001-BLOCKED.json; execution_started=false; no Docker/network/DB aftermath.,8b380d2f882ddf0e634c5d61e0d73d2c32f23220
FLOW-CMD-list,CMD-list,Representative full-path contract for /list,Telegram actor/chat identity,Required: isolated full application / approved provider sandbox,STATIC_DISCOVERY_ONLY; not executed as full flow,BLOCKED,src/presentation/telegram/commands.rs:150,"Tool-safety reason unresolved. Feature prerequisites are listed separately, including data/provider/schedule/product requirements. No new flow execution; no real-provider credential shortage inferred for a mock-only test.",,BLOCKED,PRIOR_OUTCOME_RETAINED,NO,EXEC-01 AND BOOT-01 AND TG-01 AND IDENTITY-01 AND DB-01,TG-01;IDENTITY-01;DB-01,EXEC-02 AND COMPONENT-01 may supply handler-level evidence after resolution; cannot close this full-dispatcher FLOW row.,NO_FOR_SIMULATED_SCOPE,BLOCKED,EXEC-01 cannot start because task-owned isolated DB/runtime environment provisioning OPQUAL-DB-001 was TOOL_BLOCKED before execution; no bypass permitted.,OPQUAL-DB-001-BLOCKED.json; execution_started=false; no Docker/network/DB aftermath.,8b380d2f882ddf0e634c5d61e0d73d2c32f23220
FLOW-CMD-logs,CMD-logs,Representative full-path contract for /logs,configured private admin,Required: isolated full application / approved provider sandbox,STATIC_DISCOVERY_ONLY; not executed as full flow,BLOCKED,src/presentation/telegram/commands.rs:177,"Tool-safety reason unresolved. Feature prerequisites are listed separately, including data/provider/schedule/product requirements. No new flow execution; no real-provider credential shortage inferred for a mock-only test.",,BLOCKED,PRIOR_OUTCOME_RETAINED,NO,EXEC-01 AND BOOT-01 AND TG-01 AND IDENTITY-01,TG-01;IDENTITY-01,EXEC-02 AND COMPONENT-01 may supply handler-level evidence after resolution; cannot close this full-dispatcher FLOW row.,NO_FOR_SIMULATED_SCOPE,BLOCKED,EXEC-01 cannot start because task-owned isolated DB/runtime environment provisioning OPQUAL-DB-001 was TOOL_BLOCKED before execution; no bypass permitted.,OPQUAL-DB-001-BLOCKED.json; execution_started=false; no Docker/network/DB aftermath.,8b380d2f882ddf0e634c5d61e0d73d2c32f23220
FLOW-CMD-market,CMD-market,Representative full-path contract for /market,Telegram actor/chat identity,Required: isolated full application / approved provider sandbox,STATIC_DISCOVERY_ONLY; not executed as full flow,BLOCKED,src/presentation/telegram/commands.rs:157,"Tool-safety reason unresolved. Feature prerequisites are listed separately, including data/provider/schedule/product requirements. No new flow execution; no real-provider credential shortage inferred for a mock-only test.",,BLOCKED,PRIOR_OUTCOME_RETAINED,NO,EXEC-01 AND BOOT-01 AND TG-01 AND IDENTITY-01 AND NODE-01 AND MARKET-01,TG-01;IDENTITY-01;NODE-01;MARKET-01,EXEC-02 AND COMPONENT-01 may supply handler-level evidence after resolution; cannot close this full-dispatcher FLOW row.,NO_FOR_SIMULATED_SCOPE,BLOCKED,EXEC-01 cannot start because task-owned isolated DB/runtime environment provisioning OPQUAL-DB-001 was TOOL_BLOCKED before execution; no bypass permitted.,OPQUAL-DB-001-BLOCKED.json; execution_started=false; no Docker/network/DB aftermath.,8b380d2f882ddf0e634c5d61e0d73d2c32f23220
FLOW-CMD-miner,CMD-miner,Representative full-path contract for /miner,Telegram actor/chat identity,Required: isolated full application / approved provider sandbox,STATIC_DISCOVERY_ONLY; not executed as full flow,BLOCKED,src/presentation/telegram/commands.rs:152,"Tool-safety reason unresolved. Feature prerequisites are listed separately, including data/provider/schedule/product requirements. No new flow execution; no real-provider credential shortage inferred for a mock-only test.",,BLOCKED,PRIOR_OUTCOME_RETAINED,NO,EXEC-01 AND BOOT-01 AND TG-01 AND IDENTITY-01 AND DB-01 AND NODE-01,TG-01;IDENTITY-01;DB-01;NODE-01,EXEC-02 AND COMPONENT-01 may supply handler-level evidence after resolution; cannot close this full-dispatcher FLOW row.,NO_FOR_SIMULATED_SCOPE,BLOCKED,EXEC-01 cannot start because task-owned isolated DB/runtime environment provisioning OPQUAL-DB-001 was TOOL_BLOCKED before execution; no bypass permitted.,OPQUAL-DB-001-BLOCKED.json; execution_started=false; no Docker/network/DB aftermath.,8b380d2f882ddf0e634c5d61e0d73d2c32f23220
FLOW-CMD-mute_alerts,CMD-mute_alerts,Representative full-path contract for /mute_alerts,configured private admin,Required: isolated full application / approved provider sandbox,STATIC_DISCOVERY_ONLY; not executed as full flow,BLOCKED,src/presentation/telegram/commands.rs:59,"Tool-safety reason unresolved. Feature prerequisites are listed separately, including data/provider/schedule/product requirements. No new flow execution; no real-provider credential shortage inferred for a mock-only test.",,BLOCKED,PRIOR_OUTCOME_RETAINED,NO,EXEC-01 AND BOOT-01 AND TG-01 AND IDENTITY-01 AND DB-01 AND QUEUE-01,TG-01;IDENTITY-01;DB-01;QUEUE-01,EXEC-02 AND COMPONENT-01 may supply handler-level evidence after resolution; cannot close this full-dispatcher FLOW row.,NO_FOR_SIMULATED_SCOPE,BLOCKED,EXEC-01 cannot start because task-owned isolated DB/runtime environment provisioning OPQUAL-DB-001 was TOOL_BLOCKED before execution; no bypass permitted.,OPQUAL-DB-001-BLOCKED.json; execution_started=false; no Docker/network/DB aftermath.,8b380d2f882ddf0e634c5d61e0d73d2c32f23220
FLOW-CMD-network,CMD-network,Representative full-path contract for /network,Telegram actor/chat identity,Required: isolated full application / approved provider sandbox,STATIC_DISCOVERY_ONLY; not executed as full flow,BLOCKED,src/presentation/telegram/commands.rs:154,"Tool-safety reason unresolved. Feature prerequisites are listed separately, including data/provider/schedule/product requirements. No new flow execution; no real-provider credential shortage inferred for a mock-only test.",,BLOCKED,PRIOR_OUTCOME_RETAINED,NO,EXEC-01 AND BOOT-01 AND TG-01 AND IDENTITY-01 AND NODE-01,TG-01;IDENTITY-01;NODE-01,EXEC-02 AND COMPONENT-01 may supply handler-level evidence after resolution; cannot close this full-dispatcher FLOW row.,NO_FOR_SIMULATED_SCOPE,BLOCKED,EXEC-01 cannot start because task-owned isolated DB/runtime environment provisioning OPQUAL-DB-001 was TOOL_BLOCKED before execution; no bypass permitted.,OPQUAL-DB-001-BLOCKED.json; execution_started=false; no Docker/network/DB aftermath.,8b380d2f882ddf0e634c5d61e0d73d2c32f23220
FLOW-CMD-pause,CMD-pause,Representative full-path contract for /pause,configured private admin,Required: isolated full application / approved provider sandbox,STATIC_DISCOVERY_ONLY; not executed as full flow,BLOCKED,src/presentation/telegram/commands.rs:174,"Tool-safety reason unresolved. Feature prerequisites are listed separately, including data/provider/schedule/product requirements. No new flow execution; no real-provider credential shortage inferred for a mock-only test.",,BLOCKED,PRIOR_OUTCOME_RETAINED,NO,EXEC-01 AND BOOT-01 AND TG-01 AND IDENTITY-01 AND DB-01,TG-01;IDENTITY-01;DB-01,EXEC-02 AND COMPONENT-01 may supply handler-level evidence after resolution; cannot close this full-dispatcher FLOW row.,NO_FOR_SIMULATED_SCOPE,BLOCKED,EXEC-01 cannot start because task-owned isolated DB/runtime environment provisioning OPQUAL-DB-001 was TOOL_BLOCKED before execution; no bypass permitted.,OPQUAL-DB-001-BLOCKED.json; execution_started=false; no Docker/network/DB aftermath.,8b380d2f882ddf0e634c5d61e0d73d2c32f23220
FLOW-CMD-price,CMD-price,Representative full-path contract for /price,Telegram actor/chat identity,Required: isolated full application / approved provider sandbox,STATIC_DISCOVERY_ONLY; not executed as full flow,BLOCKED,src/presentation/telegram/commands.rs:156,"Tool-safety reason unresolved. Feature prerequisites are listed separately, including data/provider/schedule/product requirements. No new flow execution; no real-provider credential shortage inferred for a mock-only test.",,BLOCKED,PRIOR_OUTCOME_RETAINED,NO,EXEC-01 AND BOOT-01 AND TG-01 AND IDENTITY-01 AND NODE-01 AND MARKET-01,TG-01;IDENTITY-01;NODE-01;MARKET-01,EXEC-02 AND COMPONENT-01 may supply handler-level evidence after resolution; cannot close this full-dispatcher FLOW row.,NO_FOR_SIMULATED_SCOPE,BLOCKED,EXEC-01 cannot start because task-owned isolated DB/runtime environment provisioning OPQUAL-DB-001 was TOOL_BLOCKED before execution; no bypass permitted.,OPQUAL-DB-001-BLOCKED.json; execution_started=false; no Docker/network/DB aftermath.,8b380d2f882ddf0e634c5d61e0d73d2c32f23220
FLOW-CMD-remove,CMD-remove,Representative full-path contract for /remove,Telegram actor/chat identity,Required: isolated full application / approved provider sandbox,STATIC_DISCOVERY_ONLY; not executed as full flow,BLOCKED,src/presentation/telegram/commands.rs:149,"Tool-safety reason unresolved. Feature prerequisites are listed separately, including data/provider/schedule/product requirements. No new flow execution; no real-provider credential shortage inferred for a mock-only test.",,BLOCKED,PRIOR_OUTCOME_RETAINED,NO,EXEC-01 AND BOOT-01 AND TG-01 AND IDENTITY-01 AND DB-01,TG-01;IDENTITY-01;DB-01,EXEC-02 AND COMPONENT-01 may supply handler-level evidence after resolution; cannot close this full-dispatcher FLOW row.,NO_FOR_SIMULATED_SCOPE,BLOCKED,EXEC-01 cannot start because task-owned isolated DB/runtime environment provisioning OPQUAL-DB-001 was TOOL_BLOCKED before execution; no bypass permitted.,OPQUAL-DB-001-BLOCKED.json; execution_started=false; no Docker/network/DB aftermath.,8b380d2f882ddf0e634c5d61e0d73d2c32f23220
